title,subjects,keywords,cited_by
High performance polyphenylene sulfide biocomposites with lightweight and sustainable hybrid fillers: biocarbon and recycled carbon fibers,Unknown,None,4
Hydraulic calcium silicate-based root canal sealers mitigate proinflammatory cytokine synthesis and promote osteogenesis in vitro,Unknown,None,7
Development of Novel Balloon-Integrated Optical Catheter for Endoscopic and Circumferential Laser Application,Unknown,None,2
Electron delocalization of robust high-nuclear bismuth-oxo clusters for promoted CO<inf>2</inf> electroreduction,Unknown,None,12
Biotinylated caffeic acid covalent binding with myofibrillar proteins in alkaline conditions: Identification of protein-phenol adducts and alterations in protein properties,Unknown,None,8
"Biocompatibility, bioactive potential, porosity, and interface analysis calcium silicate repair cements in a dentin tube model",Unknown,None,7
Overcoming the impacts of two-step batch effect correction on gene expression estimation and inference,Unknown,None,11
Valorization of Pyrolyzed Biomass Residues for the Transformation of Waste Cooking Oil into Green Diesel,Unknown,None,3
Nitrogen-doped biochar-supported metal catalysts: High efficiency in both catalytic transfer hydrogenation of furfural and electrocatalytic oxygen reactions,Unknown,None,16
Birthing on country service compared to standard care for First Nations Australians: a cost-effectiveness analysis from a health system perspective,Unknown,None,8
Adsorption behavior of molybdenum onto K-doped γ-Al<inf>2</inf>O<inf>3</inf>and iron clay nanocomposite,Unknown,None,1
Deciphering biochar compost co-application impact on microbial communities mediating carbon and nitrogen transformation across different stages of corn development,Unknown,None,13
Quality and quantity of humic-like and fulvic-like acids entrapped in biochars – The effect of various forestry feedstock and pyrolysis temperature of biochars,Unknown,None,11
SVM-DO: identification of tumor-discriminating mRNA signatures via support vector machines supported by Disease Ontology,Unknown,None,0
Different culture media and purification methods unveil the core proteome of Propionibacterium freudenreichii-derived extracellular vesicles,Unknown,None,5
Evaluation of the apical sealing of an eggshell hydroxyapatite-based sealer,Unknown,None,1
Katdetectr: an R/bioconductor package utilizing unsupervised changepoint analysis for robust kataegis detection,Unknown,None,2
Molecular Docking Studies for Evaluation of Amaranth Grain Squalene for Treatment of Melanoma Skin Cancer in Human Beings,Unknown,None,1
Epimutation detection in the clinical context: guidelines and a use case from a new Bioconductor package,Unknown,None,0
EasyCellType: marker-based cell-type annotation by automatically querying multiple databases,Unknown,None,3
Evaluation of Using Biochar and Compost on Soil and Olive Tree Water Status,Unknown,None,1
CHARACTERISTICS OF BIOCHAR PRODUCED FROM CELLULOSE FOR CAPTURE OF ATMOSPHERIC CO<inf>2</inf>,Unknown,None,0
Research on the Gasification Characteristic of Cokes of BIOC-HPC Extracted from the Mixture of Low-Rank Coal and Biomass,Unknown,None,0
"Corrigendum:Construction and validation of a robust prognostic model based on immune features in sepsis (Frontiers in Immunology, (2022), 13, (994295), 10.3389/fimmu.2022.994295)",Unknown,None,0
Evaluation of pH and calcium ions release of two tricalcium silicate-based sealers through roots of primary teeth,Unknown,None,3
The opportunistic pathogen Pseudomonas aeruginosa exploits bacterial biotin synthesis pathway to benefit its infectivity,Unknown,None,8
scShapes: a statistical framework for identifying distribution shapes in single-cell RNA-sequencing data,Unknown,None,2
Cogito: automated and generic comparison of annotated genomic intervals,Unknown,None,0
GenomicDistributions: fast analysis of genomic intervals with Bioconductor,Unknown,None,6
FindIT2: an R/Bioconductor package to identify influential transcription factor and targets based on multi-omics data,Unknown,None,3
Magnetic Fe<inf>2</inf>O<inf>3</inf>/biochar composite prepared in a molten salt medium for antibiotic removal in water,Unknown,None,50
"A novel efficient electrocatalyst for oxygen reduction and oxygen evolution reaction in Li-O<inf>2</inf> batteries: Co/CoSe embedded N, Se co-doped carbon",Unknown,None,39
A reproducible experimental survey on biomedical sentence similarity: A string-based method sets the state of the art,Unknown,None,0
Ezetimibe Prevents IL-1β-induced Inflammatory Reaction in Mouse Chondrocytes via Modulating NF-κB and Nrf2/HO-1 Signaling Crosstalk,Unknown,None,8
The structural characteristics and gasification performance of cokes of modified coal extracted from the mixture of low-rank coal and biomass,Unknown,None,8
Detecting and quantifying antibody reactivity in PhIP-Seq data with BEER,Unknown,None,5
Immediate and Long-Term Radiopacity and Surface Morphology of Hydraulic Calcium Silicate-Based Materials,Unknown,None,4
Identification of cell-type-specific spatially variable genes accounting for excess zeros,Unknown,None,6
SubCellBarCode: integrated workflow for robust spatial proteomics by mass spectrometry,Unknown,None,2
Biologically inspired intraoral camera for multifunctional dental imaging,Unknown,None,2
"Three enigmatic BioH isoenzymes are programmed in the early stage of mycobacterial biotin synthesis, an attractive anti-TB drug target",Unknown,None,7
"Subclinical endometritis differentially affects the transcriptomic profiles of endometrial glandular, luminal, and stromal cells of postpartum dairy cows",Unknown,None,7
Guitar2: An improved version of the Guitar for sketching the transcriptomic view of RNA-related biological features,Unknown,None,4
Investigating the adsorption behavior of functional biochar-based porous composite for efficiently removing Cu(ii) in aqueous solution,Unknown,None,2
COVID-19 Biomarkers Recognition &amp; Classification Using Intelligent Systems,Unknown,None,3
Silicon Nitride as a Biomedical Material: An Overview,Unknown,None,37
spicyR: spatial analysis of in situ cytometry data in R,Unknown,None,17
"Efficient biodegradation of tetrabromobisphenol A by the novel strain Enterobacter sp. T2 with good environmental adaptation: Kinetics, pathways and genomic characteristics",Unknown,None,23
Auto-CORPus: A Natural Language Processing Tool for Standardizing and Reusing Biomedical Literature,Unknown,None,5
Regulatory network-based imputation of dropouts in single-cell RNA sequencing data,Unknown,None,8
CLPT: A Universal Annotation Scheme and Toolkit for Clinical Language Processing,Unknown,None,3
Radiology Text Analysis System (RadText): Architecture and Evaluation,Unknown,None,4
Gene Expression Tools from a Technical Perspective: Current Approaches and Alternative Solutions for the KnowSeq Suite,Unknown,None,0
Intercellular Communication-Related Molecular Subtypes and a Gene Signature Identified by the Single-Cell RNA Sequencing Combined with a Transcriptomic Analysis,Unknown,None,4
A comparative study of biocarbon reinforced polyoxymethylene and polyamide: Materials performance and durability,Unknown,None,16
A WHOLE VILLAGE: POLYAMOROUS FAMILIES AND THE BEST INTERESTS OF THE CHILD STANDARD,Unknown,None,1
A comprehensive review of renewable and sustainable biosourced carbon through pyrolysis in biocomposites uses: Current development and future opportunity,Unknown,None,56
GWENA: gene co-expression networks analysis and extended modules characterization in a single Bioconductor package,Unknown,None,23
Biochemical and structural characterization of the BioZ enzyme engaged in bacterial biotin synthesis pathway,Unknown,None,16
animalcules: interactive microbiome analytics and visualization in R,Unknown,None,19
The influence of biochar on the content of carbon and the chemical transformations of fallow and grassland humic acids,Unknown,None,15
epihet for intra-tumoral epigenetic heterogeneity analysis and visualization,Unknown,None,5
Application of humin-immobilized biocathode in a continuous-flow bioelectrochemical system for nitrate removal at low temperature,Unknown,None,21
Production of ethyl levulinate fuel bioadditive from 5-hydroxymethylfurfural over sulfonic acid functionalized biochar catalysts,Unknown,None,35
Sulfur boosting CO<inf>2</inf> reduction activity of bismuth subcarbonate nanosheets via promoting proton-coupled electron transfer,Unknown,None,23
"Statistical design of biocarbon reinforced sustainable composites from blends of polyphthalamide (Ppa) and polyamide 4,10 (pa410)",Unknown,None,3
Dual RNASeq Reveals NTHi-Macrophage Transcriptomic Changes During Intracellular Persistence,Unknown,None,7
Meta-analysis of genome-wide DNA methylation and integrative omics of age in human skeletal muscle,Unknown,None,41
BlackSheep: A Bioconductor and Bioconda Package for Differential Extreme Value Analysis,Unknown,None,5
KnowSeq R-Bioc package: The automatic smart gene expression tool for retrieving relevant biological knowledge,Unknown,None,16
"Biocomposites from biobased polyamide 4,10 and waste corn cob based biocarbon",Unknown,None,32
"Effect of a Birthing on Country service redesign on maternal and neonatal health outcomes for First Nations Australians: a prospective, non-randomised, interventional trial",Unknown,None,68
Analysis of mutational signatures with yet another package for signature analysis,Unknown,None,32
Erratum: Identification of maturity-onset diabetes of the young caused by glucokinase mutations detected using whole-exome sequencing (Endocrinol Metab (2017) 32 (296-301) DOI: 10.3803/EnM.2017.32.2.296),Unknown,None,0
Determining the setting of root canal sealers using an in vivo animal experimental model,Unknown,None,16
Impact of renewable carbon on the properties of composites made by using three types of polymers having different polarity,Unknown,None,13
IpDMR: Identification of differentially methylated regions with interval P-values,Unknown,None,33
Biological activities of the Ornithogalum orthophyllum and its in silico ADMET profile,Unknown,None,1
Dentinal Tubule Penetration and Adaptation of Bio-C Sealer and AH-Plus: A Comparative SEM Evaluation,Unknown,None,22
"10th International Conference on New Trends in Model and Data Engineering, MEDI 2021 held with 4th International Workshop on Modeling, Verification and Testing of Dependable Critical Systems, DETECT 2021, Symposium on Intelligent and Autonomous Systems, SIAS 2021, 1st Workshop on Control Software: Methods, Models, and Languages, CSMML 2021, Workshop on Blockchain for Inter-Organizational Collaboration, BIOC 2021 and 1st International Health Data Workshop, HEDA 2021",Unknown,None,0
RNASeqR: An R Package for Automated Two-Group RNA-Seq Analysis Workflow,Unknown,None,6
Exon-level estimates improve the detection of differentially expressed genes in RNA-seq studies,Unknown,None,1
TeamTat: A collaborative text annotation tool,Unknown,None,40
Qtlizer: comprehensive QTL annotation of GWAS results,Unknown,None,18
"Hybrid biocomposites from polypropylene, sustainable biocarbon and graphene nanoplatelets",Unknown,None,46
NBIA: a network-based integrative analysis framework – applied to pathway analysis,Unknown,None,11
The primary step of biotin synthesis in mycobacteria,Unknown,None,12
Removal of refractory organics from piggery bio-treatment effluent by the catalytic ozonation process with piggery biogas residue biochar as the catalyst,Unknown,None,56
Multi-level metabolic engineering of Pseudomonas mutabilis ATCC31014 for efficient production of biotin,Unknown,None,25
Ensemble modelling of skipjack tuna (Katsuwonus pelamis) habitats in the western north pacific using satellite remotely sensed data; a comparative analysis using machine-learning models,Unknown,None,32
"INSPEcT-GUI Reveals the Impact of the Kinetic Rates of RNA Synthesis, Processing, and Degradation, on Premature and Mature RNA Species",Unknown,None,5
"Exploration of indigenous Trichoderma species for their use as biofertilizers, optimization of growth conditions and cultivation on cheap substrates",Unknown,None,1
Oral vitamin C treatment increases polymorphonuclear cell functions in type 2 diabetes mellitus patients with poor glycemic control,Unknown,None,4
bigPint: A Bioconductor visualization package that makes big data pint-sized,Unknown,None,5
Negative binomial additive model for RNA-Seq data analysis,Unknown,None,16
intansv: An R package for integrative analysis of structural variations,Unknown,None,5
"BayNorm: Bayesian gene expression recovery, imputation and normalization for single-cell RNA-sequencing data",Unknown,None,68
A Moraxella Virulence Factor Catalyzes an Essential Esterase Reaction of Biotin Biosynthesis,Unknown,None,11
Comparison of triiodothyronine level in patients treated with levothyroxine for different causes of hypothyroidism,Unknown,None,1
Nutrient Release Pattern and Greenhouse-Grown Swiss Chard Response to Biochar Inoculated with Vermicast,Unknown,None,1
"Underutilized agricultural co-product as a sustainable biofiller for polyamide 6,6: Effect of carbonization temperature",Unknown,None,24
"Erratum: Correcting the Mean-Variance Dependency for Differential Variability Testing Using Single-Cell RNA Sequencing Data (Cell Systems (2018) 7(3) (284–294.e12), (S2405471218302783), (10.1016/j.cels.2018.06.011))",Unknown,None,6
SDA: A semi-parametric differential abundance analysis method for metabolomics and proteomics data,Unknown,None,3
Late Permian-Triassic granitic rocks of Vietnam: the Muong Lat example,Unknown,None,32
MetagenomeFeatures: An R package for working with 16S rRNA reference databases and marker-gene survey feature data,Unknown,None,5
PMC text mining subset in BioC: About three million full-text articles and growing,Unknown,None,51
Impact of biochar on physicochemical properties of haplic Luvisol soil under different land use: A plot experiment,Unknown,None,17
A New Hybrid Material: Monolithic Biomorphic Carbon/Nickel Nanoparticles for Energy Storage Devices,Unknown,None,1
RepViz: A replicate-driven R tool for visualizing genomic regions,Unknown,None,0
Detection of rare disease variants in extended pedigrees using RVS,Unknown,None,3
AnamiR: Integrated analysis of MicroRNA and gene expression profiling,Unknown,None,10
Functional Replacement of the BioC and BioH Proteins of Escherichia coli Biotin Precursor Biosynthesis by Ehrlichia chaffeensis Novel Proteins,Unknown,None,11
Biomechanical analysis of a prosthetic foot Bioc-dm2,Unknown,None,0
A statistical normalization method and differential expression analysis for RNA-seq data between different species,Unknown,None,19
Influence factors for p-nitrophenol degradation in biocathode bioelectrochemical system,Unknown,None,0
Detection of condition-specific marker genes from RNA-seq data with MGFR,Unknown,None,6
Antimycobacterial strategies to evade antimicrobial resistance in the nontuberculous mycobacteria,Unknown,None,14
Using RAMPAGE to identify and annotate promoters in insect genomes,Unknown,None,3
Incorporation of carbon nanofillers tunes mechanical and electrical percolation in PHBV:PLA blends,Unknown,None,17
"Correcting for natural isotope abundance and tracer impurity in MS-, MS/MS- and high-resolution-multiple-tracer-data from stable isotope labeling experiments with IsoCorrectoR",Unknown,None,75
MsgbsR: An R package for analysing methylation-sensitive restriction enzyme sequencing data,Unknown,None,10
GgCyto: Next generation open-source visualization software for cytometry,Unknown,None,54
Trendy: Segmented regression analysis of expression dynamics in high-throughput ordered profiling experiments,Unknown,None,24
High activity heterogeneous catalysts by plasma-enhanced chemical vapor deposition of volatile palladium complexes on biomorphic carbon,Unknown,None,8
A facile approach to build Bi<inf>2</inf>O<inf>2</inf>CO<inf>3</inf>/PCN nanohybrid photocatalysts for gaseous acetaldehyde efficient removal,Unknown,None,37
Comparative genomic analysis and characterization of two Salmonella enterica serovar enteritidis isolates from poultry with notably different survival abilities in egg whites,Unknown,None,16
Effective sociodemographic and clinical factors in weight loss in childhood obesity,Unknown,None,1
MetaCyto: A Tool for Automated Meta-analysis of Mass and Flow Cytometry Data,Unknown,None,37
"Intrusion-related Lang Vai gold-antimony district (Northeastern Vietnam): Geology, mineralogy, geochemistry and <sup>40</sup>Ar/<sup>39</sup>Ar age",Unknown,None,10
Glucose and applied voltage accelerated p-Nitrophenol reduction in biocathode of bioelectrochemical systems,Unknown,None,14
ATACseqQC: A Bioconductor package for post-alignment quality assessment of ATAC-seq data,Unknown,None,124
Diffloop: A computational framework for identifying and analyzing differential DNA loops from sequencing data,Unknown,None,48
SPRENO: A BioC module for identifying organism terms in figure captions,Unknown,None,3
Early diagnosis and treatment of vascular compilations after renal transplantation,Unknown,None,2
"International workshops: ASDENCA, BDA, BIOC, COGNISE, Enterprise Modeling, and FAiSE wokshops are held in conjunction with the 30th International Conference on Advanced Information Systems Engineering, CAiSE 2018",Unknown,None,0
fastBMA: Scalable network inference and transitive reduction,Unknown,None,5
Chimeraviz: A tool for visualizing chimeric RNA,Unknown,None,23
RankProd 2.0: a refactored bioconductor package for detecting differentially expressed features in molecular profiling datasets,Unknown,None,86
A comprehensive simulation study on classification of RNA-Seq data,Unknown,None,33
XSuLT: A web server for structural annotation and representation of sequence-structure alignments,Unknown,None,2
OncoSimulR: Genetic simulation with arbitrary epistasis and mutator genes in asexual populations,Unknown,None,11
GUIDEseq: A bioconductor package to analyze GUIDE-Seq datasets for CRISPR-Cas nucleases,Unknown,None,27
"GOTHiC, a probabilistic model to resolve complex biases and to identify real interactions in Hi-C data",Unknown,None,56
"Effect of organic, inorganic and slow-release urea fertilisers on CH<inf>4</inf> and N<inf>2</inf>O emissions from rice paddy fields",Unknown,None,35
A Novel Pathway Analysis Approach Based on the Unexplained Disregulation of Genes: This paper describes a new computational analysis method for gene expression data that utilizes all the data effectively for identifying the dynamics of biological pathways,Unknown,None,12
Arpeggio: A Web Server for Calculating and Visualising Interatomic Interactions in Protein Structures,Unknown,None,294
Photocatalytic activity of PANI/Fe<sup>0</sup> doped BiOCl under visible light-degradation of Congo red dye,Unknown,None,68
iGC-an integrated analysis package of gene expression and copy number alteration,Unknown,None,16
RELIC: A novel dye-bias correction method for Illumina Methylation BeadChip,Unknown,None,83
GeneBreak: Detection of recurrent DNA copy number aberration-associated chromosomal breakpoints within genes,Unknown,None,2
The BioC-BioGRID corpus: Full text articles annotated for curation of protein-protein and genetic interactions,Unknown,None,23
PubMedPortable: A framework for supporting the development of text mining applications,Unknown,None,6
RareVariantVis: New tool for visualization of causative variants in rare monogenic disorders using whole genome sequencing data,Unknown,None,7
Combining dependent P-values with an empirical adaptation of Brown's method,Unknown,None,96
RCP: A novel probe design bias correction method for Illumina Methylation BeadChip,Unknown,None,97
Risk-conscious correction of batch effects: Maximising information extraction from high-throughput genomic datasets,Unknown,None,46
Electrochemical Energy Storage Applications of CVD Grown Niobium Oxide Thin Films,Unknown,None,33
Importance of oxide film in endovascular biodegradable zinc stents,Unknown,None,48
HilbertCurve: An R/Bioconductor package for high-resolution visualization of genomic data,Unknown,None,23
BEclear: Batch effect detection and adjustment in DNA methylation data,Unknown,None,16
HDTD: Analyzing multi-tissue gene expression data,Unknown,None,7
mCSM-AB: a web server for predicting antibody–antigen affinity changes upon mutation with graph-based signatures,Unknown,None,100
MCSM-lig: Quantifying the effects of mutations on protein-small molecule affinity in genetic disease and emergence of drug resistance,Unknown,None,111
Beyond accuracy: Creating interoperable and scalable text-mining web services,Unknown,None,35
CSM-lig: a web server for assessing and comparing protein-small molecule affinities,Unknown,None,94
LedPred: An R/bioconductor package to predict regulatory sequences using support vector machines,Unknown,None,3
Leveraging protein quaternary structure to identify oncogenic driver mutations,Unknown,None,7
EMDomics: A robust and powerful method for the identification of genes differentially expressed between heterogeneous classes,Unknown,None,51
A Biotin Biosynthesis Gene Restricted to Helicobacter,Unknown,None,31
LowMACA: Exploiting protein family analysis for the identification of rare driver mutations in cancer,Unknown,None,15
Generalized empirical Bayesian methods for discovery of differential data in high-throughput biology,Unknown,None,29
BioCreative V BioC track overview: collaborative biocurator assistant task for BioGRID,Unknown,None,22
BioC viewer: a web-based tool for displaying and merging annotations in BioC,Unknown,None,5
BioC-compatible full-text passage detection for protein-protein interactions using extended dependency graph,Unknown,None,5
BioC<inf>convert</inf>: A conversion tool between BioC and PubAnnotation,Unknown,None,0
Training and evaluation corpora for the extraction of causal relationships encoded in biological expression language (BEL),Unknown,None,20
Investigation of candidate genes for osteoarthritis based on gene expression profiles,Unknown,None,8
NTTMUNSW BioC modules for recognizing and normalizing species and gene/protein mentions,Unknown,None,2
P -Nitrophenol degradation and microbial community structure in a biocathode bioelectrochemical system,Unknown,None,18
"Gabbro and syenite intrusions in the Lo Gam structure, Northeast Vietnam",Unknown,None,0
plethy: Management of whole body plethysmography data in R,Unknown,None,1
CFAssay: Statistical analysis of the colony formation assay,Unknown,None,64
BubbleTree: An intuitive visualization to elucidate tumoral aneuploidy and clonality using next generation sequencing data,Unknown,None,13
mAPKL: R/ Bioconductor package for detecting gene exemplars and revealing their characteristics,Unknown,None,3
Specific features of the electrical properties in partially graphitized porous biocarbons of beech wood,Unknown,None,7
CompGO: An R package for comparing and visualizing Gene Ontology enrichment differences between DNA binding experiments,Unknown,None,35
Enhanced visible light photocatalytic activity of BiOCl by compositing with g-C3N4,Unknown,None,10
SpecL - An R/Bioconductor package to prepare peptide spectrum matches for use in targeted proteomics,Unknown,None,8
quantro: A data-driven approach to guide the choice of an appropriate normalization method,Unknown,None,63
ClassifyR: An R package for performance assessment of classification with applications to transcriptomics,Unknown,None,13
ASSIGN: Context-specific genomic profiling of multiple heterogeneous biological pathways,Unknown,None,25
Designing alternative splicing RNA-seq studies. Beyond generic guidelines,Unknown,None,7
Functional Gene Networks: R/Bioc package to generate and analyse gene networks derived from functional enrichment and clustering,Unknown,None,50
pkCSM: Predicting small-molecule pharmacokinetic and toxicity properties using graph-based signatures,Unknown,None,2947
Estimation of the methylation pattern distribution from deep sequencing data,Unknown,None,6
"Sulfur and lead isotope compositions of sulfides in the Cho Dien Pb-Zn deposit, northeast Vietnam, and their geological implications",Unknown,None,1
FlowCL: Ontology-based cell population labelling in flow cytometry,Unknown,None,16
"Zircon U-Pb ages and geochemistry of granitoids in the Truong Son terrane, Vietnam: Tectonic and metallogenic implications",Unknown,None,104
Effect of inorganic cations on BiOC photocatalytic degradation of rhodamine B,Unknown,None,0
Sensitive and highly resolved identification of RNA-protein interaction sites in PAR-CLIP data,Unknown,None,23
Platinum: A database of experimentally measured effects of mutations on structurally defined protein-ligand complexes,Unknown,None,70
CAGEr: Precise TSS data retrieval and high-resolution promoterome mining for integrative analyses,Unknown,None,146
Data quality aware analysis of differential expression in RNA-seq with NOISeq R/Bioc package,Unknown,None,537
The CHEMDNER corpus of chemicals and drugs and its annotation principles,Unknown,None,193
Development of MTA/HAp biomaterials for use in endodontics,Unknown,None,0
Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2,Unknown,None,51336
"Engineering biotin prototrophic Corynebacterium glutamicum strains for amino acid, diamine and carotenoid production",Unknown,None,29
OntoGene web services for biomedical text mining,Unknown,None,19
A protocol for RNA methylation differential analysis with MeRIP-Seq data and exomePeak R/Bioconductor package,Unknown,None,258
SANTA: Quantifying the Functional Content of Molecular Networks,Unknown,None,41
"RTANDEM, an R/Bioconductor package for MS/MS protein identification",Unknown,None,9
A spatial simulation approach to account for protein structure when identifying non-random somatic mutations,Unknown,None,17
DUET: A server for predicting effects of mutations on protein stability using an integrated computational approach,Unknown,None,656
A graph theoretic approach to utilizing protein structure to identify non-random somatic mutations,Unknown,None,23
SpliceR: An R package for classification of alternative splicing and prediction of coding potential from RNA-seq data,Unknown,None,81
Omiccircos: A simple-to-use R package for the circular visualization of multidimensional Omics data,Unknown,None,137
OntoRest: Text mining web services in BioC format,Unknown,None,0
Text-mining-assisted biocuration workflows in Argo,Unknown,None,18
Web services-based text-mining demonstrates broad impacts for interoperability and process simplification,Unknown,None,22
Natural language processing pipelines to annotate BioC collections with an application to the NCBI disease corpus,Unknown,None,3
ISimp in BioC standard format: Enhancing the interoperability of a sentence simplification system,Unknown,None,9
"BioC implementations in Go, Perl, Python and Ruby",Unknown,None,5
Multi-level Feature Attention Network for medical image segmentation,Unknown,None,0
Pyramid boundary attention network for breast lesion segmentation in ultrasound images,Unknown,None,0
MAR-GAN: Multi attention residual generative adversarial network for tumor segmentation in breast ultrasounds,Unknown,None,0
Selective and multi-scale fusion Mamba for medical image segmentation,Unknown,None,1
DS&amp;STM-Net: A novel hybrid network of feature mutual fusion for medical image segmentation,Unknown,None,0
CWC-MP-MC Image-based breast tumor classification using an optimized Vision Transformer (ViT),Unknown,None,0
LD-BSAM: Combined Latent Diffusion with Bounding SAM for HIFU Target Region Segmentation,Unknown,None,0
Segment anything model for few-shot medical image segmentation with domain tuning,Unknown,None,0
"A multi-scale, multi-task fusion UNet model for accurate breast tumor segmentation",Unknown,None,0
Domesticating SAM for Breast Ultrasound Image Segmentation via Spatial-Frequency Fusion and Uncertainty Correction,Unknown,None,0
Swin transformer-based fork architecture for automated breast tumor classification,Unknown,None,0
Graph Neural Network Enhanced Dual-Branch Network for lesion segmentation in ultrasound images,Unknown,None,0
DPNet: a dual-attention patching network for breast tumor segmentation in an ultrasound image,Unknown,None,0
"Role of inter- and extra-lesion tissue, transfer learning, and fine-tuning in the robust classification of breast lesions",Unknown,None,0
Attention based UNet model for breast cancer segmentation using BUSI dataset,Unknown,None,0
Attention-enriched deeper UNet (ADU-NET) for disease diagnosis in breast ultrasound and retina fundus images,Unknown,None,1
CascadeMedSeg: integrating pyramid vision transformer with multi-scale fusion for precise medical image segmentation,Unknown,None,0
Revolutionizing breast ultrasound diagnostics with EfficientNet-B7 and Explainable AI,Unknown,None,0
Unified semantic model for medical image segmentation,Unknown,None,1
Spatial and geometric learning for classification of breast tumors from multi-center ultrasound images: a hybrid learning approach,Unknown,None,0
A neural network with a human learning paradigm for breast fibroadenoma segmentation in sonography,Unknown,None,0
The role of social media marketing and marketing management promoting and developing brand sustainability strategy,Unknown,None,2
VMC-UNet: A Vision Mamba-CNN U-Net for Tumor Segmentation in Breast Ultrasound Image,Unknown,None,0
ACL-DUNet: A tumor segmentation method based on multiple attention and densely connected breast ultrasound images,Unknown,None,0
US-Net: U-shaped network with Convolutional Attention Mechanism for ultrasound medical images,Unknown,None,2
SECA-Net: Squeezed-and-excitated contextual attention network for medical image segmentation,Unknown,None,1
The Effect Of Social Media On The Travel Decision-Making Process For Glamping Businesses,Unknown,None,0
Automated Classification and Segmentation and Feature Extraction from Breast Imaging Data,Unknown,None,0
An improved medical image segmentation framework with Channel-Height-Width-Spatial attention module,Unknown,None,1
Innovative Marketing Services in Business Practice,Unknown,None,0
Medical Image Segmentation Method with Integrated Self-attention,Unknown,None,0
A Multi-Organ Segmentation Network Based on Densely Connected RL-Unet,Unknown,None,0
Early Breast Cancer Detection Using Artificial Intelligence Techniques Based on Advanced Image Processing Tools,Unknown,None,0
STU<sup>3</sup>Net: An Improved U-Net With Swin Transformer Fusion for Thyroid Nodule Segmentation,Unknown,None,0
MACCoM: A multiple attention and convolutional cross-mixer framework for detailed 2D biomedical image segmentation,Unknown,None,2
Segmentation-based BI-RADS ensemble classification of breast tumours in ultrasound images,Unknown,None,0
RTNet: a residual t-shaped network for medical image segmentation,Unknown,None,0
A deep learning-based method for the detection and segmentation of breast masses in ultrasound images,Unknown,None,0
An Interpretable Breast Ultrasound Image Classification Algorithm Based on Convolutional Neural Network and Transformer,Unknown,None,0
Attention based multi-scale nested network for biomedical image segmentation,Unknown,None,3
FreqSNet: a multiaxial integration of frequency and spatial domains for medical image segmentation,Unknown,None,0
ESKNet: An enhanced adaptive selection kernel convolution for ultrasound breast tumors segmentation,Unknown,None,8
Manoeuvring through the pandemic while maintaining family unity,Unknown,None,0
Multimodal breast cancer hybrid explainable computer-aided diagnosis using medical mammograms and ultrasound Images,Unknown,None,0
Infusing Weighted Average Ensemble Diversity for Advanced Breast Cancer Detection,Unknown,None,0
A unified 2D medical image segmentation network (SegmentNet) through distance-awareness and local feature extraction,Unknown,None,2
MFMSNet: A Multi-frequency and Multi-scale Interactive CNN-Transformer Hybrid Network for breast ultrasound image segmentation,Unknown,None,2
BiU-net: A dual-branch structure based on two-stage fusion strategy for biomedical image segmentation,Unknown,None,1
Few-shot classification of ultrasound breast cancer images using meta-learning algorithms,Unknown,None,3
Hi-gMISnet: generalized medical image segmentation using DWT based multilayer fusion and dual mode attention into high resolution pGAN,Unknown,None,0
NSBR-Net: A Novel Noise Suppression and Boundary Refinement Network for Breast Tumor Segmentation in Ultrasound Images,Unknown,None,1
Towards the Generation of Medical Imaging Classifiers Robust to Common Perturbations,Unknown,None,0
Low-Scale Morphological Feature Recalibration Method for Breast Ultrasound Classification,Unknown,None,0
ConvMedSegNet: A multi-receptive field depthwise convolutional neural network for medical image segmentation,Unknown,None,2
A robust encoder decoder based weighted segmentation and dual staged feature fusion based meta classification for breast cancer utilizing ultrasound imaging,Unknown,None,0
Deep learning and genetic algorithm-based ensemble model for feature selection and classification of breast ultrasound images,Unknown,None,1
AGE DISCRIMINATION IN THE HOSPITALITY INDUSTRY: HOW DO HOSPITALITY STUDENTS VIEW THEIR ELDERLY COLLEAGUES?,Unknown,None,0
DAU-Net: Dual attention-aided U-Net for segmenting tumor in breast ultrasound images,Unknown,None,2
Tiny Partial Fingerprint Sensor Quality Assessment,Unknown,None,0
HBNet: an integrated approach for resolving class imbalance and global local feature fusion for accurate breast cancer classification,Unknown,None,1
Ultrasound breast tumoral classification by a new adaptive pre-trained convolutive neural networks for computer-aided diagnosis,Unknown,None,1
MTC-Net: Multi-scale feature fusion network for medical image segmentation,Unknown,None,0
Ultrasound image segmentation of renal tumors based on UNet++ with fusion of multiscale residuals and dual attention,Unknown,None,0
PIS-Net: Efficient Medical Image Segmentation Network with Multivariate Downsampling for Point-of-Care,Unknown,None,0
An automatic sparse-based deep cascade framework with multilayer representation for detecting breast cancer,Unknown,None,2
GLFNet: Global-local fusion network for the segmentation in ultrasound images,Unknown,None,4
A target region extraction method for ultrasound medical images based on improved PRIDNet and UCTransNet,Unknown,None,0
Twin-SegNet: Dynamically coupled complementary segmentation networks for generalized medical image segmentation,Unknown,None,5
A Multi-attention Triple Decoder Deep Convolution Network for Breast Cancer Segmentation Using Ultrasound Images,Unknown,None,1
ConvMixer-based encoder and classification-based decoder architecture for breast lesion segmentation in ultrasound images,Unknown,None,5
A Lightweight convolutional medical segmentation algorithm based on ConvNeXt to improve UNet,Unknown,None,0
