File,Subjects,Keywords,Cited-by-count
202202987.json,NEUR,,0
202201352.json,PSYC,Adaptation;Psychometric validity;Perinatal hiv infection;Thailand;Computerized neurocognitive tests,2
202201702.json,ENER;ENGI;MATH,energy storage system;mixed-integer programming;expected energy not supplied;power-generation cost;optimal sizing;variable renewable energy;optimal daily-operation schedule,3
202200810.json,IMMU;MEDI,cancer immunotherapy;type I interferon;unmodified nucleosides;mRNA vaccine;melanomas,2
202202207.json,BIOC,severe COVID-19;immune system;network diffusion;drug repurposing;protein-protein interaction network,2
202200390.json,MEDI,Lateral lumbar interbody fusion surgery;Indirect decompression;Minimally invasive spine surgery;Degenerative spine disease,0
202201978.json,ENGI;MATE,Sandblasting;Biocompatibility;Bulk metallic glass;Surface roughness;Copper-mold casting;Cell culture,5
202203945.json,AGRI,,0
202202657.json,ENVI;SOCI,ASEAN;corporate social responsibility;development;climate governance;human rights;Southeast Asia;climate litigation;climate change,0
202203416.json,MEDI;BIOC;PHAR,shrimp shell;ROS;antioxidant;CHOP;chitosan;ER stress,1
202201581.json,CHEM,,2
202203046.json,ENER,,6
202203553.json,BIOC,Mycosporine-like amino acid;Environmental adaptation;Cyanobacteria;Scytonemin;Secondary metabolite,0
202201094.json,IMMU;MEDI,hypothalamic-pituitary-adrenal axis;immune-inflammatory biomarkers;cortisol;cytokines;non-specific low back pain,3
202203103.json,BIOC,wound healing;DNA hypomethylation;B1 siRNA;DNA methylation;RNA-directed DNA methylation;diabetic rat;DNA damage;B1 element,2
202202342.json,MATE;CHEM,Grafting;Polylactide;Modification;Polyethyleneimine;Reactive extrusion;Antibacterial,3
202201997.json,CENG;ENVI,Surface properties;Atrazine;Hydrochar;Adsorption,13
202200685.json,MEDI,,0
202203800.json,MEDI,HIV/AIDS;engagement;risk communication;communication barriers;migrants,0
202202712.json,ENVI;MEDI,Questionnaires;Attitude;Type 2 diabetes mellitus;Screening;Dentists,0
202202587.json,MULT,,0
202200040.json,BIOC;CENG;IMMU,Waste recovery;Bioremediation;Wastewater treatment;BCG economy;Mixed microalgal-bacterial consortium;Microalgae,1
202200410.json,MULT,,1
202203396.json,SOCI,Regional study;Thailand;GIS;Remote sensing;Built-up area,0
202200943.json,MEDI,peripheral blood mononuclear cells;kidney transplantation;T lymphocytes;intracellular tacrolimus;monocytes,2
202201651.json,MEDI,BNT162 vaccine;Delayed urticaria;COVID-19 vaccination;Pfizer,1
202204003.json,MEDI;BIOC;PHAR,antioxidant;Waste product;RSM;Alcalase®,4
202201201.json,AGRI;ENVI;EART,Fisheries;Decommissioning;Socioeconomic benefits;Fish assemblage;Gulf of Thailand;Towing;Reefing;Oil and gas platforms;Ecological benefits;Jackets,1
202200806.json,ENER;CENG;CHEM,Catalyst deactivation;Hydrogenolysis;Density Functional Theory (DFT);Glycerol,3
202201714.json,MEDI,systems biology;severe COVID-19;key genes;novel biomarkers;drug repurposing,4
202203729.json,ARTS;SOCI,infinitive and gerund complements;the traditional teaching approach;young Thai learners of English;the corpus-based teaching approach;L2 acquisition,0
202201344.json,COMP,environmental behaviour;multi-sited ethnography;photovoice,0
202203379.json,DENT,Healing abutment;Cleaning effectiveness;Decontamination;Reuse;Surface properties,2
202202991.json,BIOC;IMMU;MEDI,,0
202204146.json,MATE,natural rubber;palm oil;crosslink density;accelerated sulfur vulcanization;soybean oil,7
202203683.json,ARTS;SOCI,Cultural Landscape;Bangpakong River;Adaptive Landscape;Thailand;River Delta;Chao Phraya River,0
202202138.json,ENVI;PHAR,Sustainable Development Goals;Air Quality Management;Climate Change;Particulate Matter,0
202200105.json,COMP;ENER;ENVI;SOCI,WEEE;recycling;rare earth elements;discarded mobile phone;mobile phone waste;precious metal;waste estimation,0
202202568.json,ENVI,Microfiber;DPSIR framework;Face masks;Microplastic;COVID-19,24
202200555.json,AGRI,tilapia;Baseline mortality;Unusual mortality;Epidemiology;Risk factors;Economic impact,4
202202092.json,PHAR,Dolichandrone serrulata;Aegle marmelos;Dimocarpus longan;Anti-inflammatory;Oroxylum indicum;Ben-Cha-Moon-Yai remedy;Anti-nociceptive;Walsura trichostemon,1
202203050.json,VETE;IMMU;MEDI,,1
202201597.json,EART,OSL dating;Storm deposit;Andaman Sea;Thailand;2004 Indian Ocean tsunami deposit,4
202203400.json,MEDI,Lupus;Gut barrier defect;High-fat diet;Systemic inflammation;Obesity,9
202202641.json,ENER;ENVI,supercapacitors;layered double hydroxides;electrochemical performance;modification;strategies,10
202203953.json,MEDI,COVID-19 pandemic;pressure injury;telehealth;caregiver;Thailand;bedridden patients;Telenursing,9
202200386.json,AGRI;VETE,DT;Environmental temperature;African swine fever virus;Inactivation;Fomite,2
202202211.json,PHAR;BIOC;CHEM,piperine analogs;molecular dynamic;anti-SARS-CoV-2 main protease;antimalaria;semi-synthesis;antitrypanosoma;black pepper,6
202200739.json,ENGI;PHYS;MATE,Vacuum drying;Electric double layer capacitor;Surface property;Carbon/carbon composite xerogel;Structural property,1
202202704.json,CENG,Lifetime;Sodium hydroxide;Membrane fouling;Tannic acid;Hydrolysis,3
202203816.json,DENT;HEAL;MEDI,Dental arch;Cone-beam computed tomography;Dental implants;Incisor,1
202200693.json,ENVI,Groundwater potential;Models;Remote sensing;Geographic information system;Machine learning,7
202201981.json,ENGI;PHYS;MATE;CHEM,ZnO NPs;PL;SEM;Ni defects;FTIR;Co-precipitation,8
202200369.json,CHEM,Sample preparation;Decentralized detection;Liquid phase microextraction;Coupling;Electrochemical detection,2
202202354.json,NEUR;MEDI,"Limb weights;Orthoses, exoskeletons;Tremors;Parkinson's disease;Usability;Accessibility;Essential tremor",4
202203115.json,EART,petroleum source rock;stable isotope;fibrous calcite vein;petrography;Permian carbonate platform,1
202201128.json,HEAL,Half-marathon;Endurance performance;Caffeine;Free Fatty Acids,1
202201082.json,PHYS,Exotica;CMS;Trijet;Search;Resonance,1
202203545.json,BIOC,Trehalose;Sucrose;Glucosylglycerol;Glucosylglycerate;Proline;Glycerol;Homoserine betaine;Glutamate betaine;Glycine betaine;Dimethylsulfoniopropionate,3
202201578.json,PHYS,,5
202201256.json,CHEM,bromodiethylsulfonium bromopentachloroantimonate;thioglycosides;one-pot synthesis;glycosyl chlorides,1
202202883.json,PHYS,Carboxylated styrene-butadiene rubber latex;Natural rubber latex;Rubber composite;Silica;Rice husk ash,1
202204054.json,MATE;ENVI;CHEM,Thermogravimetric analysis;Nano iron oxide;Natural rubber;Mechanical properties;Compatibilizer,2
202203791.json,DENT,"Electromyography;Esthetics;Randomized clinical trials;Orthodontic appliances, removable;Hawley retainer",0
202202929.json,MATE;CHEM,Concrete;Fiber-reinforced polymers;Natural fibers;Punching shear;Flat slabs;Synthetic fibers,3
202200914.json,AGRI;HEAL;IMMU;SOCI,glycerol;adipogenesis;Boesenbergia rotunda;triglyceride;obesity;MAPK;fingerroot;Akt,6
202201606.json,CENG;CHEM,Heterobimetallic;DFT calculations;Catalyst design;Mechanism;Ethylene polymerization,4
202200447.json,MULT,,10
202202180.json,BIOC;PHAR,in silico screening;Dendrobium;spike inhibitor;SARS-CoV-2;antiviral infection,3
202200017.json,SOCI,,0
202200502.json,MULT,,8
202202495.json,CENG;CHEM,Multiple active sites;High-entropy alloys;Nitrobenzene hydrogenation;Electrocatalysis,7
202200152.json,MULT,,1
202204111.json,ENGI;BIOC;CENG;MATE,atomic layer deposition;Hydroxyapatite;microwave;nanomaterials;sol-gel,29
202201313.json,SOCI,informal organization;Thailand;programmatic linkages;clientelism;polarization;populism;party organization,2
202203284.json,ARTS;ENVI;SOCI,plant species;plant identification;landscape;Thai painting;Thai temple;mural painting,0
202200851.json,AGRI,blood meal;biting midges;Thailand;Trypanosomatids;Haemosporidians,8
202201743.json,MATE,Silver-decorated magnetic particles;Green synthesis;Cellulosic paper;Antibacterial activity;Active packaging,4
202200781.json,ENGI,Winkler-Pasternak;size-dependent;Gurtin-Murdoch model;nanoplate;surface energy,0
202201893.json,PHYS,,18
202202246.json,MEDI,HIV;children;Asia;pneumonia;bacteria,0
202202616.json,PHYS,,5
202203904.json,DECI;COMP,Computer Vision;Obstacle Detection;Time to Collision;Electric Wheelchair;Edge Detection,2
202201939.json,CENG;COMP;ENGI;PHYS;MATE,5G;Q-learning;network delay;reinforcement learning;small base station;dynamic data popularity;caching,0
202201190.json,AGRI;NURS,aqp-1;Teneurin-4;neurite outgrowth;GAP-43;daf-16;SIRT1;Cyclin D1,3
202203457.json,DECI;MATH;BUSI,Collaborative control theory (CCT);Task administration protocols;Disruptions;Cyber collaborative protocols;Supply networks,1
202204238.json,MATE;CHEM,latitudinal and longitudinal transect;King George Island;Pakistan;terrestrial soils;Polycyclic aromatic hydrocarbons (PAHs);Antarctica,1
202203007.json,AGRI;VETE;IMMU;MEDI,Combination;Artesunate;Thailand;Amphotericin B;Treatment;Leishmania,1
202203512.json,ENGI;CENG,Processing technology;Design of processes;Unit operations;Computer-aided synthesis;Future direction;Feedstocks;Perspectives;Products;Challenges,0
202203142.json,PSYC,attachment theory;scale development;social attachment;reliability and validity;social media,6
202201485.json,DENT,implant stability;bone density;dental implant;dental implant design;resonance frequency analysis,1
202202303.json,DENT,Thailand;clinical features;pigmented lesions;prevalence,2
202202753.json,MEDI,IgG4-related disease;IgG4;vagina;vulva;plasma cells,1
202203841.json,ENGI;COMP;MATE,total system costs;Merit-order effect;integration costs;variable renewable energy;Electricity market prices,3
202200294.json,DECI;COMP;ENGI,Compact Genetic Algorithm (cGA);Traveling Salesman Problem;Quantum Com-puting;Grover's Search Algo-rithm,0
202200780.json,ENGI,Eringen’s integral model;elastic buckling;Column;nonlocal elasticity,0
202201892.json,BIOC;MEDI,Antineoplastic Agents;Healthcare Disparity;Breast Neoplasms;Thailand;Asians,2
202202247.json,HEAL;MEDI,Rehabilitation;Hemiplegia;Stroke,2
202202617.json,CHEM,CMC hydrogel;carboxylate ligands;nanoparticles;Sappan wood dye;physical crosslinking,7
202201938.json,PHYS,Extended Supersymmetry;Field Theories in Lower Dimensions;Discrete Symmetries,10
202203905.json,DECI;COMP,,0
202201191.json,ENVI;MEDI,community-integrated intermediary care (CIIC);aging;fall;Thailand;older adult;geriatric depression,5
202203456.json,MATH,Hamiltonian cycle;open knight’s tour;Hamiltonian path;legal knight’s move;chessboard;closed knight’s tour,0
202204239.json,ECON;BUSI,Retail investors;international institutions;style investing;institutional investors;trade execution,0
202203006.json,MEDI;ENVI;CHEM,Amorphous TiO2;TiO2 nanotubes;CO2 photoreduction;Surface defects;CH4 production,11
202203513.json,AGRI,Monophyly;Coi;Gonopod;Synapomorphy,3
202203143.json,MEDI,,4
202201484.json,ENER,solid oxide fuel cell;glycerol;supercritical water;power generation,2
202202302.json,BIOC;MEDI,cytopenia;gene mutations;next generation sequencing;ICUS;CCUS,0
202202752.json,CENG;IMMU;BIOC,Aganosma cymosa;GC-MS;Anti-inflammatory Molecular docking;Antioxidant;Cytotoxicity,3
202203840.json,MATE;ENVI,Ni catalyst;furfural hydrogenation;TiO2;furfuryl alcohol;cobalt,0
202200295.json,IMMU;MEDI,H3N2;Pathogenicity;Transmission;Canine influenza;Guinea pigs;Dog,2
202201257.json,DECI;ENGI;SOCI,Integral reinforcement learning;Experience replay;Closed-loop stability;Heterogeneous data resolution;Adaptive optimal perimeter control;Macroscopic fundamental diagram,8
202202882.json,PHYS,,10
202203790.json,ECON;BUSI,human health;vaccines;SARS-CoV-2;COVID-19;RNA virus,8
202204055.json,MEDI,design;development;mHealth;older adults;app;review;telehealth;elderly;usability;HCD;connected health;human-centered;UCD,8
202200915.json,AGRI;HEAL;IMMU;SOCI,shrimp lipid;endothelial cells;CHOP;GRP78;ER stress,0
202202928.json,MULT,,3
202201607.json,MEDI,Extranodal NK-T cell lymphoma;Lymphoma;Rimming of adipose tissue,0
202200446.json,MULT,,5
202202181.json,AGRI;BIOC;ENVI;SOCI,resilience assessment;Thailand;climatic and hydrological factors;flood hazard,4
202200016.json,SOCI,expertise;source credibility;attractiveness;purchase intentions;trustworthiness,1
202200503.json,MULT,,5
202202494.json,CENG;CHEM,Sustainable recycling;Fly ash;Cellulose;Si-based anode materials;Lithium-ion battery,5
202200153.json,MULT,,1
202204110.json,MEDI;NURS;PSYC;SOCI,Covid-19;Lockdown;aggressive behaviors;Parent-child relationship,1
202201312.json,ENVI;ECON;SOCI,SDG2;Chulalongkorn University;sustainable agri-food system;Higher education institutions;Thailand;Sufficiency economy philosophy,5
202203285.json,ARTS;ENVI;SOCI,traditional neighbourhood;cultural-creative cluster;Bangkok historic center;urban heritage;urban transformation,0
202200850.json,VETE,naïve young horse;inactivated vaccine;African horse sickness,0
202201742.json,MEDI,experience;reliability;height-width ratio;validity;Perthes,0
202203051.json,MATE;ENVI,Vitrimer;Epoxy nanocomposite;Bio-based curing agent;Self-healing;Anti-corrosion,17
202201596.json,MEDI,betamethasone;glucocorticoids;muscle atrophy;androgen;corticosterone,2
202203401.json,MEDI,Pulmonary cysticercosis;Pulmonary nodule,0
202202640.json,NEUR;PHAR,Psychiatry;Endocannabinoid system;Oxidative and nitrosative stress;Mood disorders;Inflammation;Schizophrenia;Major depression,6
202203952.json,PSYC;ECON,Mediation;Old;Thailand;Happiness;Parenthood,2
202200387.json,MULT,,5
202202210.json,BIOC,progenitor cells;stem cells;cultured meat;cultured seafood;cellular agriculture;tissue engineering,7
202202705.json,DENT;MEDI,Cancer stem cells;Deferoxamine;Resveratrol;Oxyresveratrol;Head and neck cancer cell carcinoma,1
202200738.json,ENER;ENGI;ENVI,Hydrothermal liquefaction;Bio-oil upgrading;Algae cultivation;Algae biofuel;Thermochemical process,11
202203817.json,NEUR;MEDI,,0
202200692.json,PHYS,,5
202201980.json,SOCI,,1
202202355.json,BIOC;ENVI,DLVO;Biofilm;Hydrophobicity;Plastic bags;Adhesion,23
202200368.json,MULT,,1
202201129.json,MEDI;SOCI;NURS;HEAL;ENVI,Antineoplastic Drug;Expensive;Reimbursement,0
202203114.json,AGRI,New distribution record;range extension;diurnal species;nocturnal;Vietnam;taxonomic key;India,0
202201083.json,CENG;ENVI,Water and wastewater treatment;Microbubbles;Ecological restoration;Nanobubbles,12
202201579.json,BIOC;MEDI,toxicity;MTHFR polymorphisms;colorectal cancer;5-fluorouracil;efficacy,1
202203544.json,AGRI,Middle East;Biological control benefits;Parasitoid wasps;Key to subfamilies;Biology;Systematics;Distribution;Braconidae,1
202202586.json,MULT,,0
202200041.json,PHYS,,0
202200411.json,MEDI,Chronic kidney health issues;Kidney transplant;Haemodialysis;Health financing coverage;Accessibility to haemodialysis;Lao National Health Insurance;Haemodialysis-related expenditures,2
202203397.json,BIOC;IMMU,Fermentation;Bioethanol;Bio-oil;Feedstocks;Pyrolysis;Cyanobacteria;Biohydrogen;Zeolites,4
202200942.json,MEDI,,0
202201650.json,PHYS,,7
202204002.json,MEDI,Renal ischemia reperfusion injury;Gut fungi;Lipopolysaccharide;Beta-glucan;Neutrophil extracellular traps,8
202201200.json,AGRI;BIOC;CENG;IMMU,Essential oil;Antioxidant;Centella asiatica;Bioactive compound;Total phenolic compound;Cellulase,0
202200807.json,ENGI;CENG;ENVI;CHEM,Energy-related reactions;Heterostructure;Carbon;Electrochemical energy devices;Electrocatalyst,14
202203728.json,ARTS;SOCI,Dance exchange;Cross-cultural understanding;Intercultural dialogue;Cultural diplomacy;Ramayana Joint Performance,0
202201715.json,AGRI;BIOC;ENVI;SOCI,Google Earth Engine;Landsat;Mekong River;Sentinel-2;riverbank erosion,10
202203378.json,BIOC;IMMU;PHAR,Holistic health belief;Herbal medicine;Knowledge;Pro-CAM attitude;Magical health belief;Indonesia,0
202201345.json,PHYS,,9
202202990.json,MULT,Temperature clines;Cytosolic malate dehydrogenase;Honey bee import;Apis mellifera,0
202203682.json,CENG;CHEM,vegetable oil;green fatty acid ethyl ester;transesterification;ethanol,2
202204147.json,ENVI;PHAR,Zeolite;Crude oil;Immobilization;Bacterial consortium;Bacterial community,12
202200104.json,ENGI;ENVI,sediment cores;environmental risk;heavy metal;wetland;enrichment factor,3
202202139.json,HEAL;PHYS;MEDI,,1
202200554.json,ENGI;PHYS;MATE,Cold bonded pelletization;Biomass ash valorization;Lightweight concrete;Lightweight aggregate,1
202202569.json,MEDI,S-loss;hepatitis B core-related antigen (HBcrAg);clinical relapse (CR);hepatitis B surface antigen (HBsAg);SCALE-B;nucleos(t)ide analogues (NAs);hepatitis B virus ribonucleic acid (HBV RNA);cessation,3
202202093.json,SOCI,transfer of training;vocational educational and training;soft skills;Thailand;qualitative research;cultural aspects,2
202202206.json,PHYS;ENGI,,5
202200391.json,AGRI;ENVI,Rhizosphere;Root trait;Thailand;Maize;Soil arthropod,2
202203944.json,MEDI;SOCI,Dependent-care agency;Children with acute lymphoblastic leukemia;Family caregivers;Preschooler;Infection prevention behaviors;Self-care deficit theory,0
202201979.json,MATH,Hereditary classes;Generalized topological spaces;Monotonic maps,0
202202656.json,BIOC;CENG;ENGI;PHYS;MATE,Lewis acid;Brønsted acid;Acid transformation;In situ drifts;Tungsten oxide;Silica,0
202203417.json,ENGI,,1
202201580.json,ENGI;BIOC;CENG;MEDI,inhibitor;Aphanothece halophytica;simazine;H2 production;cyanobacteria,3
202203047.json,MEDI;SOCI,major depressive disorder;gender reassignment procedures;trans women;sex reassignment surgery;PHQ-9,2
202203552.json,ENGI,Vibration;Flooding;Overhead line equipment (OHLE);Extreme temperature;Mast structure;Overhead wire;Earthquakes,0
202201095.json,BUSI,industry specialization;cost of debt;audit partner;financial crisis,0
202203102.json,ENER;ECON,Methane harness;Renewable energy embedding;Mixed methods;COP 26 minimizing methane;Sustainable supply chains,0
202202343.json,BUSI,Community engagement;Board independence;Career horizon;Female CEO;Stock options,2
202201996.json,MEDI,Media;Co-view;Positive discipline;Hospitalized children;Screen time,0
202200684.json,MEDI,,1
202203801.json,MEDI,Diagnosis;Dry eye;Vital staining;Symptoms;Tear film break-up time;Treatment;Questionnaire;Guideline,0
202202713.json,MULT,Puerarin;MD simulation;Hemagglutinin;Docking;Epicatechin gallate,0
202201216.json,PSYC;NEUR,,0
202204014.json,MULT,,2
202201646.json,AGRI;HEAL;IMMU;SOCI,dietary fiber;in vitro starch digestion;dragon fruit peel;physicochemical properties,1
202202969.json,PHAR,Complexation;MCT oil;Amphotericin B;Solubility;Cyclodextrins;Characterization,2
202200954.json,IMMU;MEDI,Immune response;Physiological stress;Oxidative and nitrosative stress;Antioxidants;Inflammation,44
202203381.json,VETE,Kidney Damage;Liver Damage;Lead acetate;Medicinal Plants;Parsley,0
202200407.json,MEDI,Microbiota;Alcohol-induced liver injury;Probiotics;Rat model,6
202200057.json,AGRI,immunoglobulin E;recombinant proteins;monoclonal antibody;asthma;respiratory ailments;transient expression,2
202202590.json,MULT,,0
202202085.json,AGRI;BIOC;NEUR,Bee pollen;Phytochemical;Bioactivity;Total phenolic content;Flavonoid content,2
202200542.json,ARTS;SOCI,Melaka;Ayutthaya;Southeast Asian Islam;Tamil Muslims;Kling;Siam,2
202200112.json,MULT,Film seeds coating method;Long pepper;Hexane extract;Botanical insecticide;Maize weevil;Bruchid beetles,2
202203694.json,ARTS;ENVI;SOCI,curartistry;global architectural education;everyday life;AA Visiting School Bangkok,0
202204151.json,MEDI,metabolic syndrome;waist-to-height ratio;Thailand;adolescents;national survey,1
202202986.json,MULT,Centella asiatica;Complete Freund’s adjuvant;Temporomandibular joint osteoarthritis;Chronic pain,1
202201353.json,ENER,reductive catalytic fractionation;textile fibers;lignin;land use change;regenerated cellulose;savings in blue water;dissolving pulp;life cycle assessment;short rotation forestry;climate-adapted poplar,16
202201703.json,AGRI;ENVI;EART,eDNA metabarcoding;Stereo-video ROV;Gulf of Thailand;Elasmobranchii;Offshore structures;Artificial reef;Biomonitoring;Methods comparison,4
202200811.json,AGRI;BIOC;ENVI,Monoculture;Effects;Agroforestry;Arthropods;Polyculture,0
202203010.json,DENT;BIOC;MEDI,Wnt signaling;Dentin repair;Dental pulp cells;Tooth development,7
202203440.json,MATH,general potential;reflection probability;transmission probability;perfect fluid spheres;quasinormal frequencies,0
202201187.json,MULT,Sustainable Development Goals;Inequality;Fairness;Gini index;Income distribution,0
202203913.json,MEDI,chronic kidney disease;indoxyl sulfate;cardiovascular events;echocardiographic parameters;renal outcomes,1
202202601.json,MULT,,0
202202251.json,AGRI,evolution;Hippocampus barbouri;Pisodonophis boro;seahorse;toadfish;Allenbatrachus grunniens,3
202201884.json,CENG;ENVI,polyvinyl alcohol gel;pilot-scale;AnMBBR;food wastewater,2
202200796.json,ENER;CENG,,3
202200283.json,ENER,CO2 methanation;CO2 to methane;Power-to-gas;Kinetics;CO2 hydrogenation;Ni/SiO2,1
202203856.json,ENGI;COMP;MATE,asynchronous BCI;brain-computer interface;movement intention detection;EEG;neurorehabilitation;stroke rehabilitation;Electroencephalogram,1
202200779.json,ENGI;CENG;MEDI,critical care;accuracy;critically ill patients;continuous glucose monitoring,7
202202744.json,ENGI;MATE,Crown;Cobalt-chromium;Gingival crevicular fluid;Fixed partial denture;Periodontium;Gingival health;Zirconia;CAD/CAM;Margin fit;Ceramics;Gingival inflammation,31
202200329.json,ENGI;MATE,Morphologies;Lead-free solder;Selective electrochemical etching;Solder alloys,2
202202314.json,DENT;MEDI,oral mucosal diseases;oral lichen planus;pain;validation;recurrent aphthous stomatitis,2
202201492.json,BIOC;MEDI,Cervical cancer;Lymphatic-venous direct connection;Prognosis;Lymphatic vessels;Distant metastasis;Diagnostic imaging;Neoplasm staging,1
202203155.json,SOCI,,0
202201168.json,PHYS,Vector Boson Production;Vector-Like Quarks;Beyond Standard Model;Hadron-Hadron Scattering,4
202203505.json,DENT,lithium disilicate;chemical–mechanical polishing;polishing paste;cerium oxide,0
202201538.json,DENT;MEDI,disease-free survival;ameloblastoma;immunohistochemistry;survival rate;mutation;proto-oncogene proteins B-raf,3
202200000.json,ENGI;BIOC;CENG;ENVI,Biofilm;Chlorococcum;Photobioreactor;Surfactant;Microalgae,1
202202197.json,VETE,cornea;canine;wound healing;lyophilized;extract;amniotic membrane,0
202200450.json,DENT,Denture quality;Masticatory function;Muscle mass;Multiple sieve method;Bone mass;Visceral fat;Tooth loss,6
202201611.json,CHEM,Photoinduced electron transfer (PET);Copper(II) ion;Fluorescent sensor;Pyrene,5
202200903.json,AGRI;NURS,end-stage kidney disease;hemodialysis;mortality;peritoneal dialysis;sarcopenia;prevalence,7
202203786.json,AGRI;NURS;MEDI,,1
202204043.json,MEDI;IMMU;PHAR,Inactivated vaccine;Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2);Third dose;Clinical trial;Booster;Viral vector vaccine;MRNA vaccine,43
202202894.json,ENGI;CENG;CHEM,Activated carbon;Carbon dioxide;Hydrate;Storage;Sodium dodecyl sulfate,8
202201241.json,ENGI;PHYS;MATE,Bending actuation;Dielectric elastomer;Multi-walled carbon nanotube;Deproteinized natural rubber;Compliant electrode;Functionalized multi-walled carbon nanotube,2
202201754.json,ENER;ENGI;ENVI,CT reconstruction Algorithms;Neutron radiography;Multiphase flow;Neutron computed tomography,0
202203769.json,HEAL;ENGI;MEDI,age-related macular degeneration;macular pigment optical density;AMD risk factors;Macular pigment;MPOD measurement,0
202200846.json,ENVI;MEDI,self-care;health literacy;telehealth;primary care;COVID-19;allergic rhinitis,1
202203293.json,SOCI,teaching science;science lessons;inquiry-based teaching;pre-service teacher;Teacher's belief,1
202201304.json,MEDI,High risk ulcer;Second look endoscopy;Rebleeding,1
202203339.json,BIOC;MEDI,Global hypomethylation;Genomic instability;Senescence;Youth-DNA-GAP;DNA gap;DNA protection;RIND-EDSBs,0
202204106.json,ENVI,Nutrient;Volatile fatty acid;Chicken manure;Bioponics;Microbial community,5
202202178.json,MEDI,flat bolus;silicone rubber;3D printer;3D customize bolus,3
202200145.json,ARTS,Śrāvastī miracles;Twin Miracle;Dvāravatī;votive tablets;Buddhist texts,1
202202482.json,PHYS;BIOC;MEDI,PCI complexity;Diagnostic reference levels (DRL);radiation dose CTO;Thailand DRLs for PCI;radiation dose PCI,1
202202528.json,ENER;CENG;CHEM,Biodiesel;Photoperiod;Wastewater;Microalgae;Mixotrophic,15
202200515.json,MEDI;SOCI,Compensation;Health system;Health policy;Admission track;Dentist allocation;Policy implementation;Compulsory service;Health workforce,0
202201810.json,VETE;IMMU,survey;cats;dogs;Thailand;SARS-CoV-2,17
202200702.json,MEDI,screening;Gorlin-Goltz syndrome;basal cell carcinoma;odontogenic keratocyst;panoramic radiograph,1
202203987.json,HEAL,Optically stimulated luminescent dosimeter;Eye lens dose;Head computed tomography,0
202202695.json,MATE;CHEM,molecular dynamics simulation;polyethylene terephthalate;glass transition temperature;polyethylene vanillate;bio-based polymer,6
202200352.json,MULT,,1
202201113.json,VETE,FSH;oocyte maturation;ovarian stimulation;ovum pick-up;goat,0
202203084.json,MEDI,,4
202201543.json,CHEM,Oxygen reduction;Photoelectrocatalysis;Benzoporphyrin,0
202201056.json,COMP,Crowd Evacuation;Reinforcement Learning;Evacuation Leader;Social Force Model,0
202203591.json,COMP;ENGI;MATH,blockchain;local differential privacy;federated learning;privacy protection,5
202201406.json,SOCI;ENER;ENGI;COMP;ENVI,systems thinking;single-use plastic;leverage points;sustainable practices;food delivery;COVID-19;system dynamics,0
202203968.json,PHAR;IMMU;MEDI,homologous;adults;Heterologous;viral vectored;inactivated;COVID-19;vaccine,32
202201955.json,PHAR,encapsulation;ophthalmic;cyclodextrin;stabilization;fosinopril sodium;niosomes,8
202200647.json,AGRI;HEAL;IMMU;SOCI,chemoprevention;anti-inflammation;defatted rice bran;health product;health;colitis-associated colorectal cancer;anti-cell proliferation,3
202202380.json,ARTS;SOCI,attitudinal alignment;appraisal;analysis;metadiscourse markers;Thai advertising;Japanese advertising;insurance;corpus linguistics,0
202200217.json,MEDI,Acute kidney injury;Renal replacement therapy;Perioperative;Shock;Hypertension;Mean arterial blood pressure,4
202203712.json,COMP;ENGI,Bi-LSTM Encoder;DistilBERT Encoder;Thai Word Boundaries;Triplet Hard Loss;Sentiment Classification,1
202202800.json,BIOC;ENVI,Personal care products;Adsorption;Pharmaceutical;Micropollutants;Sewage treatment plants,63
202203342.json,DECI;ENGI;SOCI;BUSI,group music activities;elderly;Internet of Things;IoT;Angklung;music activities,1
202201685.json,MEDI,prediction;nasopharyngeal carcinoma;diffusion-weighted imaging;treatment outcome;dynamic contrast-enhanced magnetic resonance imaging,0
202200997.json,AGRI,,2
202202103.json,ARTS;AGRI;ENVI;SOCI,,0
202202553.json,HEAL;PHAR,Community pharmacists;Patient intention and an integrated behavioral model;ADR reporting,3
202200094.json,MEDI,Comorbidities;HIV/AIDS;Phenotypic age acceleration;Phenotypic aging marker;Frailty;Thailand;Aging,1
202200581.json,MEDI,fecal microbiota transplantation;gastrointestinal diseases;meta-analysis;dysbiosis;irritable bowel syndrome,3
202202046.json,PHYS;MATE,Photoelectrochemical oxidation;Cesium lead bromide;Surface-modified TiO2;Methanol;Charge transfer,1
202202416.json,MEDI,Trachea;Tracheostomy;Tracheostomy tube;Intubation,0
202201390.json,EART,gem;spinel;XAS;color;heat treatment,4
202204192.json,AGRI,toxic metalloid;agronomic practices;cooking methods;carcinogen;water management;arsenic;As;south and south-east Asia,10
202203657.json,PHYS;MATE,Cycling stability;Supercapacitors;Chromium-doped;Co-sputtering;Molybdenum nitride,3
202202945.json,MEDI,Cutaneous lesion;Peptide receptor radionuclide therapy (PRRT);Extravasation;Amino acid,1
202200978.json,MEDI,Referring clinicians and CT exams;Recurrent CT scans;Regulation for justification in medical imaging;Referring physicians survey;Cumulative radiation dose,2
202204038.json,DENT,Secondary caries;Hybrid layer;Survival and complications;Prosthesis detachment,4
